t,S,E,I,R,V
268,0.0003630586707940414,4.478877962033587,14.507664363936966,24.40259664286355,2165.252429399754
269,0.00036475060420821385,4.464711783419113,14.255899888319329,24.067278138938967,2160.04642914188
270,0.0003631041044047494,4.451019701326938,14.009553807247556,23.73628400426041,2154.84223719761
271,0.0003614661707991873,4.437782723255361,13.768512195842499,23.409570309884824,2149.6401163132027
272,0.0003617421953728528,4.42498381834217,13.532663431380312,23.087093251952755,2144.4403228852702
273,0.00036254339586746625,4.412609752732262,13.301898149989066,22.768809162124835,2139.2431070920234
274,0.00036253855696993467,4.400647720981955,13.07610920426464,22.454674517605074,2134.048713022029
275,0.00036127983791066245,4.389084504063488,12.855191621458632,22.144645950761333,2128.8573788004896
276,0.0003617290048505988,4.37790392740618,12.639042562418767,21.83868025835383,2123.669336713095
277,0.0003628655387319761,4.367094238019338,12.427561280761651,21.53673441038188,2118.484813327532
278,0.00036268367562111194,4.356645092725765,12.220649083168102,21.238765558559244,2113.304029612626
279,0.00036580420675228707,4.346539931915763,12.018209290540504,20.944731044427627,2108.1272010551893
280,0.0003641092866655707,4.336775331956092,11.8201471986164,20.654588407118656,2102.9545377746203
281,0.0003662844120203313,4.3273314487163,11.626370041390658,20.36829539077332,2097.7862446352688
282,0.0003635358593280672,4.318206288901217,11.436786952347068,20.085809951628608,2092.6225213566254
283,0.000365309461391363,4.3093799773662305,11.251308929421235,19.807090264780108,2087.463562621369
284,0.0003632759568971889,4.300850761450177,11.06984879740412,19.532094730630053,2082.3095581812904
285,0.0003651461291211767,4.292601182816252,10.892321174058981,19.260781981028924,2077.1606929611585
286,0.0003666461594178008,4.284626092207069,10.718642434099362,18.993110885119805,2072.017147160553
287,0.00036637458129444854,4.276917781064475,10.54873067567155,18.729040554893174,2066.8790963536794
288,0.0003666413666868105,4.269465131996881,10.382505686807493,18.468530350461176,2061.7467115872305
289,0.0003650221998922745,4.26226205481919,10.219888912048019,18.21153988505852,2056.6201594763324
290,0.00037005529267672166,4.255291779308915,10.060803420720545,17.95802902977845,2051.499602298554
291,0.00036743852691149446,4.248560650169106,9.905173873575402,17.70795791805132,2046.3851980861034
292,0.0003687005616297886,4.242049444653783,9.752926493669966,17.46128694987295,2041.2771007161623
293,0.0003672800651837566,4.235757286509627,9.603989033668357,17.217976795790534,2036.1754599994356
294,0.00036822910902522085,4.229671932754852,9.458290746981483,16.977988400652976,2031.0804217669381
295,0.0003687771526588023,4.223789202349718,9.315762357246278,16.74128298713269,2025.9921279550465
296,0.00036930974814899963,4.218101989057417,9.176336029700115,16.50782205902587,2020.910716688855
297,0.0003702773703248327,4.212603345073901,9.03994534244903,16.277567404337507,2015.8363223638614
298,0.0003722490610574603,4.207286419957886,8.906525258393907,16.050481098158254,2010.769075726017
299,0.00037058585953649747,4.202149780264745,8.776012097423106,15.82652550533885,2005.7091039501568
300,0.0003719513907583135,4.197180891274316,8.64834351009358,15.605663282968928,2000.6565307168723
301,0.0003733118125979857,4.192377111284627,8.523458450112777,15.387857382665882,1995.6114762878153
302,0.0003741048508916118,4.187733515543015,8.40129714880547,15.17307105267984,1990.574057579486
303,0.0003736870116171343,4.183245442880183,8.281801089396131,14.961267839820609,1985.5443882355412
304,0.0003738634090494227,4.1789059597062455,8.1649129819944,14.752411591212086,1980.5225786976193
305,0.0003767073660490807,4.174708034649783,8.050576738832426,14.546466455879802,1975.5087362747465
306,0.0003751282925060861,4.170653965445326,7.938737449628694,14.343396886176897,1970.5029652113142
307,0.0003748342896822084,4.166733409851817,7.8293413588345,14.143167639053788,1965.5053667536922
308,0.00037551052870534493,4.162942202837253,7.722335841466203,13.94574377717664,1960.516039215469
309,0.00037484528189584874,4.159278325246519,7.617669380414615,13.751090669899655,1955.5350780413744
310,0.00037844644794302713,4.1557319818732275,7.515291544456785,13.559173994096039,1950.5625758698816
